"","r11","","r12","","r13","","r14","","r21","","r22","","r23","","r24",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"27.ncounty","-.0459786","-.8675689","-.1665435","-3.157015","-.1608917","-3.035085","-.1809576","-3.597008","-.0712041","-1.386978","-.1870783","-3.594616","-.1577636","-3.006785","-.1194362","-2.44572"
"28.ncounty",".0613109",".6948523",".0753145",".8772458",".2181503","2.532562",".1447396","1.728779",".1084125","1.268161",".1218464","1.4968",".2752877","3.407896",".2109827","2.777195"
"29.ncounty",".1146955","1.873524","-.0897618","-1.332876","-.0300258","-.4293693","-.0126949","-.2038825",".1570521","2.645863","-.0620265","-.9734487",".0222685",".3313256",".0472884",".8265343"
"30.ncounty",".0857876","1.278509","-.000179","-.0028132","-.0065371","-.1021934","-.0547258","-.8095291",".152839","2.356989",".0595252",".9625959",".0763412","1.237707",".0447254",".7198561"
"31.ncounty",".3387616","5.391742",".3169868","4.995324",".3569274","5.846412",".2523874","4.028966",".4123356","6.784549",".3700544","6.1515",".4239507","7.291898",".3262129","5.569262"
"32.ncounty",".3041059","2.585936",".2556898","1.008767","-.026014","-.0866786","-.1537276","-.3984912",".5329926","4.329175",".526634","1.883203",".2211532",".7564024",".0830649",".2143505"
"33.ncounty",".0848962","1.333072",".026243",".408956","-.012363","-.1757029",".0584587",".9348285",".0827937","1.334638",".0254799",".4131909","-.0036572","-.0541916",".0612784","1.027865"
"34.ncounty",".0400912",".4637452",".0143262",".1757325",".0354459",".4717342",".0730153","1.026762",".0895832","1.072706",".0474131",".6042337",".0750379","1.041511",".1120137","1.693199"
"35.ncounty",".1410109","1.937731",".1688864","2.731563",".142203","2.124446",".1898125","2.839192",".1604594","2.375062",".2030764","3.263524",".1899536","2.862738",".2218923","3.35645"
"36.ncounty",".0909306","1.577535",".1369494","2.617118",".1839185","3.524528",".2008401","4.033754",".1389166","2.538226",".1655309","3.284628",".226313","4.504635",".2325412","4.973651"
"std_logcount610","","","","","","","","",".4046116","22.94776","","","","","",""
"std_logcount1014","","","","","","","","","","",".2915557","21.33374","","","",""
"std_logcount1418","","","","","","","","","","","","",".2850016","22.34014","",""
"std_logcount1822","","","","","","","","","","","","","","",".3094598","23.63637"
"_cons",".6442759","15.16012",".5398924","13.52965",".5015731","12.34838",".5356781","14.02171",".267432","5.990151",".2435675","5.76745",".2261718","5.340325",".27026","7.039619"
"N","6308","","6308","","6308","","6308","","6308","","6308","","6308","","6308",""
"R-sq",".1216446","",".1690767","",".1848424","",".1965879","",".1807894","",".2276264","",".2449904","",".2601466",""
